Company ID,Country code,Country,Archive standard coding,ROE,ROA,Fixed assets ratio,Current ratio,Log total assets,Debt equity ratio,GDP pc (eur),GDP pc (PPS),GDP growth,Interest rate,Inflation rate,Public debt over GDP,Tourism intensity,ITE over GDP,Trips,Nights
11,1,Austria,AT,0.426935791969299,0.0393145494163036,2.64569187164307,3.40416026115418,3.73536133766174,14.8643846511841,42100,38100,2.5,-0.32905,2.2,81.1,13806.95,5.36245729594372,21274287,82844593
12,1,Austria,AT,-0.105699889361858,0.00395561568439007,0.27386549115181,2.96413922309876,5.31062698364258,2.52772784233093,42100,38100,2.5,-0.32905,2.2,81.1,13806.95,5.36245729594372,21274287,82844593
13,1,Austria,AT,0.0358931645750999,0.026888532564044,0.101886577904224,34.1463012695313,5.22767543792725,1.50720310211182,42100,38100,2.5,-0.32905,2.2,81.1,13806.95,5.36245729594372,21274287,82844593
14,1,Austria,AT,0.267769575119019,0.0653720051050186,10.3022966384888,1.43134474754334,3.46792483329773,9.87829875946045,42100,38100,2.5,-0.32905,2.2,81.1,13806.95,5.36245729594372,21274287,82844593
15,1,Austria,AT,0.500813543796539,0.0940103530883789,4.18399810791016,48.4614906311035,3.66454577445984,5.89815855026245,42100,38100,2.5,-0.32905,2.2,81.1,13806.95,5.36245729594372,21274287,82844593
21,2,Belgium,BE,1.72403514385223,0.0365962386131287,1.42701780796051,0.762934803962708,4.19706392288208,78.8169479370117,39330,35540,2,-0.32905,2.2,107.6,3407.17,2.7714668631043,13413846,72343477
22,2,Belgium,BE,-0.266134470701218,-0.0980082973837852,6.13622522354126,0.72471010684967,3.8474395275116,1.59181308746338,39330,35540,2,-0.32905,2.2,107.6,3407.17,2.7714668631043,13413846,72343477
23,2,Belgium,BE,-0.282619684934616,-0.00201835972256958,0.676161527633667,0.831515789031982,4.96158123016357,10.9149312973022,39330,35540,2,-0.32905,2.2,107.6,3407.17,2.7714668631043,13413846,72343477
24,2,Belgium,BE,0.00625971797853708,0.0177115928381681,0.320714980363846,0.0665712282061577,4.39944982528687,0.758327603340149,39330,35540,2,-0.32905,2.2,107.6,3407.17,2.7714668631043,13413846,72343477
25,2,Belgium,BE,0.261358231306076,0.145039632916451,2.56350588798523,0.158730462193489,4.24311542510986,1.05048108100891,39330,35540,2,-0.32905,2.2,107.6,3407.17,2.7714668631043,13413846,72343477
26,2,Belgium,BE,-0.0859485417604446,-0.00790544133633375,3.13346862792969,0.612650215625763,4.41594123840332,2.6836302280426,39330,35540,2,-0.32905,2.2,107.6,3407.17,2.7714668631043,13413846,72343477
27,2,Belgium,BE,-0.343478292226791,0.11218036711216,2.5023717880249,0.39308500289917,4.71028470993042,-14.2453813552856,39330,35540,2,-0.32905,2.2,107.6,3407.17,2.7714668631043,13413846,72343477
31,3,Denmark,DK,2.80744576454163,-0.274855673313141,3.76028776168823,0.0899481251835823,4.11168336868286,-9.56296730041504,50700,38320,2,-0.32905,1.1,36,5593.86,2.41583272553426,24782134,74489000
32,3,Denmark,DK,0.177158281207085,0.154568672180176,0.458825647830963,1.617720246315,5.06073188781738,0.148031130433083,50700,38320,2,-0.32905,1.1,36,5593.86,2.41583272553426,24782134,74489000
33,3,Denmark,DK,0.0696803405880928,0.0557552464306355,2.71473431587219,0.0739413350820541,4.21048259735107,1.880295753479,50700,38320,2,-0.32905,1.1,36,5593.86,2.41583272553426,24782134,74489000
34,3,Denmark,DK,0.356788098812103,0.157771036028862,4.43136644363403,0.339548796415329,4.37103509902954,1.30998861789703,50700,38320,2,-0.32905,1.1,36,5593.86,2.41583272553426,24782134,74489000
35,3,Denmark,DK,0.239014893770218,0.137208387255669,0.982356607913971,0.215185090899467,4.23462152481079,0.815313756465912,50700,38320,2,-0.32905,1.1,36,5593.86,2.41583272553426,24782134,74489000
41,4,Finland,FI,-0.36292427778244,-0.0052706403657794,3.26783299446106,0.258191168308258,4.45998001098633,11.5496082305908,40990,33000,3.1,-0.32905,0.8,62.4,3982,2.05846116951682,37940987,105678190
42,4,Finland,FI,0.640552461147308,-0.252965331077576,2.11982226371765,0.317333310842514,3.85157775878906,-2.78510999679565,40990,33000,3.1,-0.32905,0.8,62.4,3982,2.05846116951682,37940987,105678190
43,4,Finland,FI,0.111895844340324,0.0797419622540474,4.00062036514282,0.69095778465271,4.41009950637817,0.812165915966034,40990,33000,3.1,-0.32905,0.8,62.4,3982,2.05846116951682,37940987,105678190
44,4,Finland,FI,-3.76350879669189,-0.0222007259726524,2.88752889633179,0.307343184947968,3.63025784492493,81.9639434814453,40990,33000,3.1,-0.32905,0.8,62.4,3982,2.05846116951682,37940987,105678190
45,4,Finland,FI,-0.124303475022316,-0.0296604484319687,2.70998620986939,0.177199751138687,3.87221455574036,2.19374203681946,40990,33000,3.1,-0.32905,0.8,62.4,3982,2.05846116951682,37940987,105678190
46,4,Finland,FI,0.272372156381607,0.0832300782203674,4.65904903411865,0.608542323112488,3.82402992248535,2.40207004547119,40990,33000,3.1,-0.32905,0.8,62.4,3982,2.05846116951682,37940987,105678190
47,4,Finland,FI,0.232392966747284,-0.225837007164955,5.04897975921631,0.106003172695637,3.62311863899231,-1.69047999382019,40990,33000,3.1,-0.32905,0.8,62.4,3982,2.05846116951682,37940987,105678190
48,4,Finland,FI,0.246588692069054,0.108542710542679,4.20233154296875,0.37759068608284,3.47494435310364,1.90935671329498,40990,33000,3.1,-0.32905,0.8,62.4,3982,2.05846116951682,37940987,105678190
